French,Tamil
était,இருந்தது
faire,செய்ய
comme,என
votre,உங்கள்
cette,இது
quand,எப்போது
alors,SO
chose,விஷயம்
merci,நன்றி
juste,வெறும்
aussi,மேலும்
avoir,வேண்டும்
allez,தொடருங்கள்
autre,மற்றவை
temps,நேரம்
notre,எங்கள்
avait,இருந்தது
aller,போ
monde,உலகம்
étais,இருந்தது
parce,ஏனெனில்
avant,முன்பு
avais,இருந்தது
crois,நம்பு
après,பிறகு
ouais,ஆம்
pense,நினைக்கிறார்கள்
homme,மனிதன்
viens,வாருங்கள்
femme,பெண்கள்
bonne,நல்லது
mieux,சிறந்தது
fille,பெண்
voilà,அங்கு
avons,வேண்டும்
petit,கொஞ்சம்
toute,அனைத்து
passé,பாஸ்
salut,வணக்கம்
moins,குறைவாக
maman,அம்மா
reste,தங்க
aider,உதவி
entre,இடையே
passe,பாஸ்
savez,தெரியும்
trois,மூன்று
assez,போதும்
plaît,தயவுசெய்து
seule,தனியாக
merde,மலம்
parle,பேசு
elles,அவர்கள்
jours,நாட்கள்
grand,பெரிய
venir,வாருங்கள்
porte,கதவு
super,பெரிய
heure,மணி
vient,வாருங்கள்
amour,அன்பு
genre,பாலினம்
frère,அண்ணன்
aucun,எதுவும் இல்லை
ville,நகரம்
parlé,பேசு
place,இடம்
leurs,அவர்களின்
corps,உடல்
façon,வழி
donné,கொடுக்கப்பட்டது
voici,இங்கே உள்ளது
train,ரயில்
perdu,இழந்தது
point,புள்ளி
tiens,பிடி
vieux,பழைய
matin,காலை
suite,பின்வரும்
venez,வாருங்கள்
enfin,இறுதியாக
cause,காரணம்
droit,சரி
parti,கட்சி
terre,பூமி
belle,அழகான
donne,கொடுக்கப்பட்டது
jouer,விளையாடு
celui,ஒன்று
jeune,இளம்
école,பள்ளி
vivre,வாழ்க
devez,வேண்டும்
mains,கைகள்
dites,என்கின்றனர்
plein,முழு
pensé,நினைக்கிறார்கள்
envie,பொறாமை
garde,காவலர்
cours,நிச்சயமாக
ainsi,இவ்வாறு
peine,அபராதம்
serai,இருக்கும்
prend,எடுக்கும்
choix,தேர்வு
abord,கப்பலில்
voyez,பார்க்க
faute,தவறு
étiez,இருந்தன
agent,முகவர்
adore,அன்பு
route,சாலை
année,ஆண்டு
drôle,வேடிக்கையான
sujet,பொருள்
sorte,வரிசைப்படுத்து
voulu,விரும்பினார்
morte,இறந்தார்
ferai,செய்வார்கள்
payer,செலுத்து
coeur,இதயம்
chien,நாய்
calme,அமைதியான
photo,புகைப்படம்
ferme,பண்ணை
verre,கண்ணாடி
aimes,அன்பு
doute,சந்தேகம்
moyen,சராசரி
trucs,பொருட்களை
salle,அறை
celle,என்று
dîner,இரவு உணவு
écrit,எழுதுவது
livre,புத்தகம்
chéri,அன்பே
morts,இறந்தார்
boire,குடிக்க
soyez,இருக்கும்
plait,தயவுசெய்து
sinon,இல்லையெனில்
pièce,துண்டு
grave,கடுமையான
carte,வரைபடம்
aviez,இருந்தது
appel,அழைப்பு
début,ஆரம்பம்
venue,வருகிறது
effet,விளைவு
grâce,கருணை
tirer,இழுக்க
force,வலிமை
ordre,உத்தரவு
armes,ஆயுதங்கள்
aurai,கொண்டிருக்கும்
scène,காட்சி
prête,தயார்
oncle,மாமா
liste,பட்டியல்
soeur,சகோதரி
armée,இராணுவம்
crime,குற்றம்
finir,முடிக்க
libre,இலவசம்
bouge,நகர்த்த
hôtel,ஹோட்டல்
idiot,முட்டாள்தனமான
sympa,நல்ல
fasse,செய்ய
avion,விமானம்
table,அட்டவணை
rouge,சிவப்பு
seras,இருக்கும்
ligne,வரி
clair,தெளிவானது
balle,பந்து
gagné,வெற்றி பெற்றார்
jolie,அழகான
sorti,வெளியிடப்பட்டது
ouvre,திறக்கிறது
pieds,அடி
auras,கொண்டிருக்கும்
vraie,உண்மை
selon,படி
tenir,பிடி
exact,துல்லியமான
poser,கீழே அமைக்க
chaud,சூடான
david,டேவிட்
tueur,கொலைகாரன்
flics,போலீசார்
forme,வடிவம்
folle,பைத்தியம்
offre,சலுகை
froid,குளிர்
prêts,கடன்கள்
gamin,குழந்தை
poste,வேலை
boîte,பெட்டி
aimer,பிடிக்கும்
serez,இருக்கும்
tombe,வீழ்ச்சி
santé,ஆரோக்கியம்
frank,வெளிப்படையான
monte,ஏற்றப்பட்டது
voler,பறக்க
blanc,வெள்ளை
mange,சாப்பிட்டது
enfer,நரகம்
nulle,பூஜ்யம்
signe,அடையாளம்
aille,போ
honte,அவமானம்
paris,பாரிஸ்
aurez,கொண்டிருக்கும்
connu,அறியப்படுகிறது
allée,இடைகழி
coups,வீசுகிறது
peter,பீட்டர்
tient,வைத்திருக்கிறது
prise,சாக்கெட்
dirai,சொல்வார்கள்
fiche,வடிவம்
héros,ஹீரோ
menti,பொய் சொன்னார்
jeter,எறியுங்கள்
sauvé,காப்பாற்றப்பட்டது
bière,பீர்
assis,அமர்ந்தார்
prévu,முன்னறிவிக்கப்பட்ட
tenez,பிடி
seuls,தனியாக
bruit,சத்தம்
danse,நடனம்
rêves,கனவுகள்
bravo,நன்றாக முடிந்தது
lycée,உயர்நிலைப் பள்ளி
pitié,பரிதாபம்
radio,வானொலி
verra,பார்ப்பார்கள்
bande,இசைக்குழு
henry,ஹென்றி
censé,கருதப்படுகிறது
james,ஜேம்ஸ்
reine,ராணி
croit,நம்புகிறார்
tombé,வீழ்ச்சி
vidéo,வீடியோ
match,பொருத்தம்
bombe,குண்டு
tante,அத்தை
chère,அன்பே
danny,டேனி
rendu,வழங்கியது
aimez,அன்பு
venus,சுக்கிரன்
jimmy,ஜிம்மி
sache,தெரியும்
glace,பனிக்கட்டி
parie,பந்தயம்
mangé,சாப்பிட்டது
idées,யோசனைகள்
faite,முடிந்தது
sarah,சாரா
marié,திருமணம்
court,குறுகிய
harry,ஹாரி
gagne,வெற்றி பெற்றார்
futur,எதிர்காலம்
lâche,கோழை
gosse,குழந்தை
riche,பணக்காரர்
faits,உண்மைகள்
dents,பற்கள்
repas,உணவு
telle,அத்தகைய
série,தொடர்
parmi,மத்தியில்
forte,கோட்டை
étant,இருப்பது
mille,ஆயிரம்
accès,அணுகல்
cible,இலக்கு
steve,ஸ்டீவ்
films,திரைப்படங்கள்
marie,திருமணம்
crise,நெருக்கடி
piste,தடம்
coupe,வெட்டு
cassé,உடைந்தது
rends,திரும்ப
mêmes,அதே
tommy,டாமி
foutu,புணர்ந்தார்
types,வகைகள்
image,படம்
étage,தரை
suivi,பின்தொடரவும்
frais,செலவுகள்
sacré,புனிதமானது
jésus,இயேசு
billy,பில்லி
arrêt,நிறுத்து
marre,ஊட்டப்பட்டது
chier,மலம்
adieu,விடைபெறுதல்
utile,பயனுள்ள
amené,கொண்டு வரப்பட்டது
quels,எது
amène,கொண்டு வருகிறது
magie,மந்திரம்
pause,உடைக்க
vendu,விற்கப்பட்டது
privé,தனிப்பட்ட
jambe,கால்
noire,கருப்பு
gérer,நிர்வகிக்க
mince,மெல்லிய
meurt,இறக்கிறார்
fermé,பண்ணை
odeur,வாசனை
caché,மறைக்கப்பட்டுள்ளது
règle,ஆட்சியாளர்
infos,தகவல்
lever,தூக்கி
arbre,மரம்
maire,மேயர்
champ,களம்
unité,அலகு
resté,தங்க
plage,கடற்கரை
malin,புத்திசாலி
eddie,எடி
chris,கிறிஸ்
folie,பைத்தியக்காரத்தனம்
cache,மறைக்கப்பட்டுள்ளது
génie,மேதை
ouest,மேற்கு
poids,எடை
poche,வேட்டையாடப்பட்டது
créer,உருவாக்க
saura,தெரிந்து விடும்
perds,இழக்க
bobby,பாபி
piège,பொறி
kevin,கெவின்
grace,கருணை
perte,இழப்பு
côtés,பக்கங்களிலும்
larry,லாரி
beaux,அழகான
entré,இடையே
lance,ஈட்டி
plans,திட்டங்கள்
douce,மென்மையான
vôtre,உங்கள்
servi,பணியாற்றினார்
souci,கவலை
doigt,விரல்
brian,பிரியன்
coupé,வெட்டு
jerry,ஜெர்ரி
scott,ஸ்காட்
trace,தடயம்
salon,வாழ்க்கை அறை
style,பாணி
ravie,மகிழ்ச்சியடைந்தார்
vieil,பழைய
meurs,இறக்கின்றன
queue,வால்
sonne,மோதிரங்கள்
jason,ஜேசன்
casse,உடைந்தது
dormi,தூங்கினார்
rires,சிரிப்பு
leçon,பாடம்
battu,அடித்தார்கள்
veste,ஜாக்கெட்
simon,சைமன்
amies,நண்பர்கள்
tirez,இழுக்கவும்
feras,செய்வார்கள்
bague,மோதிரம்
tente,கூடாரம்
haute,உயர்
terme,கால
emily,எமிலி
sport,விளையாட்டு
signé,அடையாளம்
virer,திரும்ப
pluie,மழை
vrais,உண்மை
ombre,நிழல்
neige,பனி
gardé,காவலர்
saint,புனிதர்
jette,வீசுகிறார்
joues,கன்னங்கள்
notes,குறிப்புகள்
repos,ஓய்வு
siège,இருக்கை
allés,சென்றார்
gorge,தொண்டை
dieux,தெய்வங்கள்
major,முக்கிய
titre,தலைப்பு
lundi,திங்கட்கிழமை
alice,ஆலிஸ்
noirs,கருப்பு
forêt,காடு
maria,மரியா
annie,அன்னி
louis,லூயிஸ்
fuite,கசிவு
brisé,தென்றல்
lieux,இடங்கள்
seins,மார்பகங்கள்
crier,கத்தி
vente,விற்பனை
vache,மாடு
clark,கிளார்க்
susan,சூசன்
coûte,செலவுகள்
démon,பேய்
smith,ஸ்மித்
cesse,நிறுத்து
finit,முடிவடைகிறது
bosse,பம்ப்
kelly,கெல்லி
usine,தொழிற்சாலை
virus,வைரஸ்
fière,பெருமை
finie,முடிந்தது
canon,பீரங்கி
bébés,குழந்தைகள்
ayant,கொண்ட
tenté,கூடாரம்
tests,சோதனைகள்
objet,பொருள்
roger,ரோஜர்
fusil,துப்பாக்கி
voila,அங்கு
herbe,புல்
écris,எழுது
fumer,புகை
monté,ஏற்றப்பட்டது
coach,பயிற்சியாளர்
élevé,மாணவர்
chair,சதை
taire,அமைதி
crâne,மண்டை ஓடு
laver,கழுவு
nuits,இரவுகள்
russe,ரஷ்யன்
sucre,சர்க்கரை
chute,வீழ்ச்சி
devra,வேண்டும்
tenue,ஆடை
karen,கரேன்
geste,சைகை
gaffe,தவறு
aient,வேண்டும்
pizza,பீட்சா
jenny,ஜென்னி
réglé,ஆட்சியாளர்
barre,தடி
foyer,அடுப்பு
amuse,மகிழ்ந்தார்
mener,செயல்படுத்த
soupe,சூப்
chuck,சக்
corde,கயிறு
somme,தொகை
crème,கிரீம்
foule,கூட்டம்
laura,லாரா
hiver,குளிர்காலம்
lapin,முயல்
julie,ஜூலி
fonds,நிதி
vegas,வேகாஸ்
front,நெற்றி
jones,ஜோன்ஸ்
saute,குதிக்க
océan,கடல்
porté,கதவு
julia,ஜூலியா
mardi,செவ்வாய்
barry,பாரி
lourd,கனமான
filer,சுழல்
rompu,உடைந்தது
sauve,சேமிக்கிறது
donna,டோனா
rater,மிஸ்
tâche,கறை
etait,இருந்தது
tapis,கம்பளம்
cents,சென்ட்
écran,திரை
irait,போகும்
