en,es
It's only three days till Christmas.,Solo faltan tres días para Navidad.
Harvard was founded in 1636.,Harvard se fundó en 1636.
Why do you waste most of your time on Tatoeba?,¿Por qué desperdicias la mayoría del tiempo en Tatoeba?
It is magnificent indeed.,Eso sí que es grandioso.
She traveled all over the world.,Ella viajó por todo el mundo.
Tom didn't mean to hurt you.,Tom no pensaba hacerte daño.
Tom asked for a loan from Mary.,Tom le pidió un préstamo a Mary.
"According to the long-term forecast, a mild winter seems to be ahead.","Según el pronóstico del tiempo a largo plazo, parece que viene un invierno no muy frío."
That sounds interesting. What did you tell her?,Eso suena interesante. ¿Qué le dijiste?
Do you have any?,¿Tienes?
Women are not permitted to drive cars in Saudi Arabia.,A las mujeres no se les permite manejar en Arabia Saudita.
I don't even know who I am anymore.,Ya no me conozco.
This box is light enough to carry.,Esta caja es lo suficientemente ligera para poderla portar.
He was sick yesterday.,Ayer estaba enfermo.
Yolks are yellow.,La yema es amarilla.
I think it's a trap.,Creo que es una trampa.
You should eat nutritious food.,Debes comer alimentos nutritivos.
The court decreed that the charge be paid.,La corte decretó que el cargo sea pagado.
I didn't eat the bread because the crust was moldy.,No me comí el pan porque la corteza tenía moho.
I need it ASAP.,Lo necesito tan pronto como sea posible.
"On July tenth, the veto was announced.","El diez de julio, el veto fue anunciado."
I'll do it slowly.,Lo haré despacito.
We're done.,Terminamos.
No news is good news.,"Si no hay noticias, son buenas noticias."
Have you ever been to Spain?,¿Ha estado alguna vez en España?
We saw Tom leave.,Vimos marcharse a Tom.
Does abstract art have any logic?,¿El arte abstracto tiene lógica?
Tom has a list of things to do.,Tom tiene una lista de cosas que hacer.
Did you enjoy yourself at the theater?,¿Te divertiste en el teatro?
She gave him a slap in the face.,Le dio un tortazo.
That would have been worse!,¡Eso habría sido peor!
"You like that coat very much, don't you?","Te gusta mucho ese abrigo, ¿no?"
I could be wrong.,Yo podría estar equivocado.
"Tom, there's something I forgot to tell you.","Tom, hay algo que olvidé decirte."
I know how that goes.,Ya sé cómo va.
The door won't budge.,La puerta no se moverá.
Tom doesn't want his picture taken.,Tom no quiere que se hagan fotos de él.
Sweat bathed his forehead.,Su frente estaba empapada de sudor.
Your plan is a good one.,El tuyo es un buen plan.
They haven't found her.,Ellos no la han encontrado.
Jimmy is my foster child.,Jimmy es mi hijo adoptivo.
Let's not invite Tom.,No invitemos a Tom.
I'm tired of ironing.,Estoy cansado de planchar.
She was injured in a car accident.,Ella se lesionó en un accidente automovilístico.
I don't think she's going to hear us.,No creo que ella nos vaya a oír.
"He brought me coffee, when I had asked for tea.","Me trajo un café, aunque había pedido un té."
Stop the countdown.,Detengan la cuenta atrás.
They've changed the lock.,Cambiaron la cerradura.
He had no money and so could not buy any food.,"Él no tenía dinero, y por eso no podía comprar comida."
Do you have any friends?,¿Tenés amigos?
