English,Hindi
Where do you live,आप कहाँ रहते हैं
Thank you,धन्यवाद
Thank you very much,बहुत बहुत धन्यवाद
Stand up,खड़े हो जाओ
I am fine,मैं ठीक हूँ
What time is it,कितने बजे हैं
I understand,मैं समझ गया
I am thirsty,मुझे प्यास लगी है
I am happy,मैं खुश हूँ
How are you,आप कैसे हैं
Where are you going,आप कहाँ जा रहे हैं
I am tired,मैं थक गया हूँ
That is my car,वह मेरी कार है
I like to travel,मुझे यात्रा करना पसंद है
Open the door,दरवाज़ा खोलो
Where are you going,आप कहाँ जा रहे हैं
I am hungry,मुझे भूख लगी है
Good luck,शुभकामनाएँ
My name is John,मेरा नाम जॉन है
Thank you very much,बहुत बहुत धन्यवाद
See you soon,जल्द मिलते हैं
Go there,वहाँ जाओ
What is your name,आपका नाम क्या है
Good luck,शुभकामनाएँ
I am thirsty,मुझे प्यास लगी है
Stand up,खड़े हो जाओ
I am fine,मैं ठीक हूँ
I like to travel,मुझे यात्रा करना पसंद है
I am hungry,मुझे भूख लगी है
My name is John,मेरा नाम जॉन है
Open the door,दरवाज़ा खोलो
Sit down,बैठ जाओ
I understand,मैं समझ गया
Good luck,शुभकामनाएँ
I love you,मैं तुमसे प्यार करता हूँ
I am sad,मैं दुखी हूँ
She is very beautiful,वह बहुत सुंदर है
Close the window,खिड़की बंद करो
I am going to school,मैं स्कूल जा रहा हूँ
Take care,अपना ध्यान रखना
What time is it,कितने बजे हैं
Thank you very much,बहुत बहुत धन्यवाद
That is my car,वह मेरी कार है
Take care,अपना ध्यान रखना
I am studying,मैं पढ़ाई कर रहा हूँ
That is my car,वह मेरी कार है
I like music,मुझे संगीत पसंद है
Sorry,मुझे खेद है
Stand up,खड़े हो जाओ
Don't worry,चिंता मत करो
I don't understand,मैं नहीं समझा
Have a nice day,आपका दिन शुभ हो
I am going to school,मैं स्कूल जा रहा हूँ
He is my friend,वह मेरा दोस्त है
That is my car,वह मेरी कार है
He is my friend,वह मेरा दोस्त है
Go there,वहाँ जाओ
I am happy,मैं खुश हूँ
Congratulations,बधाई हो
Be careful,सावधान रहो
Please repeat,कृपया दोहराएँ
I like music,मुझे संगीत पसंद है
My name is John,मेरा नाम जॉन है
How are you,आप कैसे हैं
I live in India,मैं भारत में रहता हूँ
Sit down,बैठ जाओ
I don't understand,मैं नहीं समझा
Good morning,सुप्रभात
How are you,आप कैसे हैं
I am studying,मैं पढ़ाई कर रहा हूँ
Good morning,सुप्रभात
Congratulations,बधाई हो
How are you,आप कैसे हैं
I am hungry,मुझे भूख लगी है
Congratulations,बधाई हो
I am sad,मैं दुखी हूँ
I am thirsty,मुझे प्यास लगी है
Please repeat,कृपया दोहराएँ
I like to travel,मुझे यात्रा करना पसंद है
I am going to school,मैं स्कूल जा रहा हूँ
Congratulations,बधाई हो
Be careful,सावधान रहो
He is my friend,वह मेरा दोस्त है
I live in India,मैं भारत में रहता हूँ
Let's go,चलो चलते हैं
This is my book,यह मेरी किताब है
I am studying,मैं पढ़ाई कर रहा हूँ
Let's go,चलो चलते हैं
I like to travel,मुझे यात्रा करना पसंद है
I am fine,मैं ठीक हूँ
Excuse me,माफ कीजिए
Open the door,दरवाज़ा खोलो
Be careful,सावधान रहो
Thank you,धन्यवाद
I am free,मैं खाली हूँ
Please help me,कृपया मेरी मदद करें
Excuse me,माफ कीजिए
Thank you very much,बहुत बहुत धन्यवाद
It is raining,बारिश हो रही है
I like to dance,मुझे नृत्य करना पसंद है
I don't understand,मैं नहीं समझा
What is your name,आपका नाम क्या है
I live in India,मैं भारत में रहता हूँ
Sorry,मुझे खेद है
Happy birthday,जन्मदिन मुबारक हो
Stand up,खड़े हो जाओ
Good morning,सुप्रभात
Please repeat,कृपया दोहराएँ
Have a nice day,आपका दिन शुभ हो
Thank you,धन्यवाद
Where do you live,आप कहाँ रहते हैं
How are you,आप कैसे हैं
I am free,मैं खाली हूँ
I don't understand,मैं नहीं समझा
That is my car,वह मेरी कार है
Open the door,दरवाज़ा खोलो
I like music,मुझे संगीत पसंद है
I don't understand,मैं नहीं समझा
Happy birthday,जन्मदिन मुबारक हो
How are you,आप कैसे हैं
Sorry,मुझे खेद है
Good night,शुभ रात्रि
I am studying,मैं पढ़ाई कर रहा हूँ
Where are you going,आप कहाँ जा रहे हैं
I am free,मैं खाली हूँ
Please repeat,कृपया दोहराएँ
I am studying,मैं पढ़ाई कर रहा हूँ
I don't understand,मैं नहीं समझा
Good luck,शुभकामनाएँ
Don't worry,चिंता मत करो
Take care,अपना ध्यान रखना
I am fine,मैं ठीक हूँ
Excuse me,माफ कीजिए
What is your name,आपका नाम क्या है
I am fine,मैं ठीक हूँ
I like music,मुझे संगीत पसंद है
Sorry,मुझे खेद है
I am hungry,मुझे भूख लगी है
I like to travel,मुझे यात्रा करना पसंद है
It is raining,बारिश हो रही है
Don't worry,चिंता मत करो
Stand up,खड़े हो जाओ
I like music,मुझे संगीत पसंद है
I am busy,मैं व्यस्त हूँ
Let's go,चलो चलते हैं
What is your name,आपका नाम क्या है
Please help me,कृपया मेरी मदद करें
I like to travel,मुझे यात्रा करना पसंद है
I am happy,मैं खुश हूँ
Take care,अपना ध्यान रखना
Stand up,खड़े हो जाओ
I am fine,मैं ठीक हूँ
I am thirsty,मुझे प्यास लगी है
Good luck,शुभकामनाएँ
I am happy,मैं खुश हूँ
I like music,मुझे संगीत पसंद है
Close the window,खिड़की बंद करो
Good luck,शुभकामनाएँ
Please repeat,कृपया दोहराएँ
See you soon,जल्द मिलते हैं
It is raining,बारिश हो रही है
I am going to school,मैं स्कूल जा रहा हूँ
I am fine,मैं ठीक हूँ
I am fine,मैं ठीक हूँ
Where are you going,आप कहाँ जा रहे हैं
I love you,मैं तुमसे प्यार करता हूँ
I am happy,मैं खुश हूँ
Come here,यहाँ आओ
