english,hindi
I have to go to sleep.,मुझे सोना है।
Muiriel is 20 now.,म्यूरियल अब बीस साल की हो गई है।
Muiriel is 20 now.,म्यूरियल अब बीस साल की है।
"The password is ""Muiriel"".","कूटशब्द ""Muriel"" है।"
"The password is ""Muiriel"".","पासवर्ड ""Muriel"" है।"
I will be back soon.,मैं जल्द लौटूंगी।
I'm at a loss for words.,मैं तो लाजवाब हो गयी हूँ।
This is never going to end.,यह तो कभी खत्म न होगा।
I just don't know what to say.,मुझे नहीं पता मैं क्या कहूँ।
That was an evil bunny.,वह ख़रगोश दुष्ट था।
Education in this world disappoints me.,मैं इस दुनिया में शिक्षा पर बहुत निराश हूँ।
That won't happen.,वैसा नहीं होगा।
I miss you.,मुझें तुम्हारी याद आ रही है।
I miss you.,मुझें आपकी याद आ रही है।
You should sleep.,तुम्हें सोना चाहिए।
You should sleep.,आपको सोना चाहिए।
I never liked biology.,मुझे जीव विज्ञान कभी भी पसंद नहीं था।
No I'm not; you are!,"मैं नहीं हूँ, तुम हो!"
That's MY line!,वह तो मेरी लाईन है!
Are you sure?,पक्का?
Hurry up.,जल्दी करो!
It doesn't surprise me.,इससे मुझें आश्चर्य नहीं होता।
It doesn't surprise me.,इससे मुझें ताज्जुब नहीं होता।
For some reason I feel more alive at night.,पता नहीं क्यों मुझे रात में ज़्यादा ज़िन्दा महसूस होता है।
I'm so fat.,मैं कितना मोटा हूं।
I'm so fat.,मैं कितनी मोटी हूं।
So what?,तो क्या?
So what?,तो क्या हुआ?
That's because you're a girl.,इसलिए क्योंकि तुम लड़की हो।
I didn't like it.,मुझे अच्छा नहीं लगा।
I didn't like it.,मुझे पसंद नहीं आया।
You can do it.,तुम कर सकते हो।
You can do it.,तुम कर सकती हो।
That wasn't my intention.,मेरा वह इरादा नहीं था।
It seems interesting to me.,मुझे बहुत मज़ेदार लगती है!
It seems interesting to me.,मुझे बहुत दिलचस्प लगती है!
What did you answer?,तुमने क्या जवाब दिया?
What did you answer?,तुम ने क्या जवाब दिया?
What did you answer?,आप ने क्या जवाब दिया?
Where is the problem?,मुश्किल क्या है?
Where is the problem?,मुश्किल कहाँ है?
I love you.,मैं तुमसे प्यार करती हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं आपसे प्यार करता हूँ।
I love you.,मैं आपसे प्यार करती हूँ।
I love you.,मुझे तुमसे प्यार है।
Congratulations!,बधाई हो!
Congratulations!,मुबारक हो!
Why don't you come visit us?,तुम हमसे मिलने क्यों नहीं आते?
I didn't want this to happen.,मैं नहीं चाहता था कि ऐसा हो।
Bearing can be unbearable.,बर्दाश्त की भी हद होती है।
"Tomorrow, he will land on the moon.",कल वह चाँद पर उतरेगा।
"""When will you be back?"" ""It all depends on the weather.""","""कब वापस आओगे?"" ""यह तो मौसम देख कर पता चलेगा।"""
"""What's the matter?"" asked the little white rabbit.","""क्या बात है?"" छोटे सफ़ेद खरगोश ने पूछा।"
Allen is a poet.,ऐलन कवि है।
Allen is a poet.,अॅलेन कवी है।
"Democracy is the worst form of government, except all the others that have been tried.","लोकतंत्र सरकार का सबसे घिनौना रूप है, अगर बाकी सारी तरह की सरकारों को अंदेखा किया जाए तो।"
"When I left the train station, I saw a man.",मैंने ट्रेन स्टेशन से निकलने के समय एक आदमी को देखा।
Did you miss me?,मेरी याद आई क्या?
Thank you very much!,आपका बहुत बहुत धन्यवाद!
Thank you very much!,आपका बहुत बहुत शुक्रिया!
I'll take him.,मैं उसे लेलूँगा।
They say love is blind.,कहते हैं कि प्यार अंधा होता है।
It's impossible for me to explain it to you.,मुझे तुमको यह बात समझाना नामुमकिन है।
It is already eleven.,ग्यारह बज चुके हैं।
I have a bone to pick with you.,मैं तुमसे खुश नहीं हूँ।
The world is a den of crazies.,दुनिया पागलों से भरी हुई है।
My name is Jack.,मेरा नाम जैक है।
Would you like to dance with me?,मेरे साथ नाचना चाहोगी क्या?
Would you like to dance with me?,मेरे साथ डान्स करना चाहती हो क्या?
Italy is a very beautiful country.,इटली एक बहुत सुंदर देश है।
Italy is a very beautiful country.,इटली एक बहुत ही सुंदर देश है।
Open your mouth!,अपना मूँह खोलो!
Nobody came.,कोई नहीं आया।
I'm tired.,मैं थक गया हूँ।
I have a headache.,मेरे सिर में दर्द हो रहा है।
I have a headache.,मुझे सिरदर्द हो रहा है।
It's too expensive!,बहुत महंगा है!
It's too expensive!,बहुत महंगी है!
Merry Christmas!,क्रिसमस की शुभकामनाएँ!
Merry Christmas!,क्रिसमस मुबारक़!
You should have listened to me.,तुम्हे मेरी बात सुन लेनी चाहिए थी।
I'm starving!,मैं भूख से मरा जा रहा हूँ।
I am married and have two children.,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।
The car crashed into the wall.,गाड़ी दीवार से टकराई।
"Who searches, finds.","जो ढूँढता है, उसीको मिलता है।"
"I don't think, therefore I am not.","मैं सोचता नहीं, अतः मैं नहीं हूं।"
"I don't think, therefore I am not.","मैं सोचती नहीं, अतः मैं नहीं हूं।"
I find foreign languages very interesting.,मेरे ख़याल से विदेशी भाषाएँ बहुत ही दिलचस्प होतीं हैं।
It's cold.,ठंड हो रही है।
"When you can't do what you want, you do what you can.","जब वह नहीं कर सकते जो करना चाह्ते हो, तो वह करो जो कर सकते हो।"
You didn't tell him anything?,तुमने उसे कुछ भी नहीं बताया?
You made me lose my mind.,तुमने मुझे पागल कर दिया।
"Could you call again later, please?",क्या आप थोड़ी देर बाद फिरसे फ़ोन कर सकतें हैं?
I don't want to go to school.,मैं स्कुल जाना नहीं चाहता हूँ।
Justice is expensive.,इंसाफ़ महंगा होता है।
Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.,कुछ नेत्रहीन व्यक्तियों में उनके आास-पास की चीज़ों की दूरी को महसूस करने की क्षतिपूरक क्षमता पैदा हो जाती है।
I cannot dance one single step of Salsa.,मुझे साल्सा नाचना बिलकुल नहीं आता।
I like my job very much.,मुझे अपना काम बहुत पसंद है।
But you've never told me about this!,पर तुमने मुझे यह पहले कभी बताया नहीं था!
You had plenty of time.,तुम्हारे पास काफ़ी समय था।
How many sandwiches are there left?,कितने सैंडविच बचे हैं?
I can't believe it!,मुझे विश्वास नहीं होता!
He's rich. He doesn't need money!,वह अमीर है। उसे पैसों की ज़रूरत नहीं है।
He's sleeping like a baby.,वह बच्चे की तरह सो रहा है।
There's a secret path on the left.,बाईं ओर को एक गुप्त रास्ता है।
Are you saying my life is in danger?,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?
So what if I am gay? Is it a crime?,तो क्या अगर मैं गे हूँ? कोई अपराध है क्या?
I spent the whole afternoon chatting with friends.,मैंने दोपहरभर अपने दोस्तों से गप मारी।
"Sir, you are not allowed to park your car here.",आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते हैं।
"When I was your age, Pluto was a planet.",जब में तुम्हारी उम्र का था तब प्लूटो ग्रह था।
"If I don't do it now, I never will.",अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।
"Perhaps you are right, I have been selfish.","शायद तुम सही हो, शायद मैं स्वार्थी रहा हूँ।"
We men are used to waiting for the women.,हम मर्दों को औरतों का इंतेज़ार करने की आदत है।
Take good care of yourself.,अपना अच्छे से ख़याल रखना।
"Until you make peace with who you are, you'll never be content with what you have.","आप जब तक अपनी हैसियत से समझौता नहीं कर लेते, आप के पास जो कुछ है उस से आप संतुष्ट नहीं रह सकेंगे।"
Do you have a pen on you?,तुम्हारे पास कलम है क्या?
"The sooner, the better.",जितना जल्दी उतना अच्छा।
I don't know him.,मैं उसे नहीं जानता।
Look carefully. I'm going to show you how it's done.,ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।
Fifty-two per cent of British women prefer chocolate to sex.,बावन प्रतिशत ब्रिटिश औरतें सेक्स से ज़्यादा चॉकलेट पसंद करती हैं।
He's a good person.,वह अच्छा इनसान है।
Make yourself at home.,इसको अपना घर ही समझो।
I'm going to take a bath.,मैं नहाने जा रहा हूँ।
They quarreled.,वे लड़े।
Don't forget the ticket.,टिकट भूलना मत।
I talked to friends.,मैने दोस्तों से बात की।
Tell me what happened.,मुझे बताओ क्या हुआ।
It's more difficult than you think.,जितना तुम सोच रहे हो उतना आसान नहीं है।
I don't know if I'll have time to do it.,मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।
Who said that? It's totally wrong!,वैसा किसने कहाँ? वह तो पूरी तरह से गलत है!
For once in my life I'm doing a good deed... And it is useless.,मैंने ज़िन्दगी में पहली बार कोई अच्छा काम किया पर वह भी बेकार निकला।
It's been ten years since we last met.,हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।
I buried my dog at the pet cemetery.,मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।
You should take care of your sick mother.,तुम्हे अपनी बीमार माँ का ख़याल रखना चाहिए।
Can you keep a secret?,तुम राज़ रख सकते हो क्या?
"You are tired, aren't you?","तुम थक गए हो, है ना?"
Are you younger than him?,तुम उससे छोटे हो क्या?
You must take his age into account.,तुम्हे उसकी उम्र का भी लिहाज करना चाहिए।
All you have to do is follow his advice.,तुम्हे बस उसकी सलाह के मुताबिक काम करना होगा।
It would be better for you not to ask him for advice.,बहतर होगा कि तुम उससे सलाह न माँगो।
You must study hard.,तुम्हें मन लगाकर पढ़ना होगा।
It is necessary for you to see a doctor at once.,तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।
Are you meeting someone here?,तुम यहाँ किसी से मिल रहे हो क्या?
You may have read this book already.,तुमने यह किताब पहले ही पढ़ी होगी.
Do you believe in God?,क्या तुम भगवान में विश्वास करते हो?
You work hard.,तुम मेहनत करते हो।
You work hard.,आप मेहनत करते हैं।
You ought not to have spent so much money on your hobby.,तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।
Can you drive a car?,तुम्हें गाड़ी चलाना आता है क्या?
Can you drive a car?,तुम गाड़ी चला सकते हो क्या?
Do you have a room of your own?,क्या तुम्हारे पास अपना खुद का कमरा है?
You had better do as I suggest.,बहतर होगा कि तुम वैसा ही करो जैसा मैं बताऊं।
Did you go out last night?,क्या तुम कल रात बाहर गए थे?
You look happy today.,तुम आज खुश लगते हो।
You have to go.,तुम्हें जाना होगा।
You should conform to the rules.,तुम्हे नियमों का पालन करना चाहिए।
Would you like to go abroad?,तुम विदेश जाना चाहती हो क्या?
You should have attended the meeting.,तुम्हे मीटिंग में आना चाहिए था।
How many books do you have?,तुम्हारे पास कितनी किताबें हैं?
What are you looking for?,क्या ढूँढ रहे हो?
What are you going to be?,तुम क्या बनोगे?
Did you read it at all?,तुमने पूरा पढ़ लिया क्या?
"You have only to study hard, and you will pass the test.",तुम्हें टेस्ट पास करने के लिए बस मन लगाकर पढ़ना होगा।
You are too ready to speak ill of others.,तुम हमेशा लोगों की बुराई करने को तैयार रहते हो।
You'll have to manufacture some kind of excuse.,तुम्हें कोई-न-कोई बहाना बनाना पड़ेगा।
How rude of you!,कितने बदतमीज़ हो तुम!
How rude of you!,बदतमीज़!
Why do you want to study abroad?,तुम विदेश में क्यों पढ़ना चाहते हो?
Why do you want to study abroad?,तुम विदेश में क्यों पढ़ना चाहती हो?
Why do you want to study abroad?,आप विदेश में क्यों पढ़ना चाहते हैं?
How long will you stay here?,आप यहाँ कितने दिन रहेंगे?
Where were you?,तुम कहाँ थे?
Where were you?,आप कहाँ थे?
How did you come to know her?,तुम उसे कैसे जानते थे?
What have you come here for?,तुम यहाँ क्यों आए हो?
What have you come here for?,आप लोग यहाँ क्या करने के लिए आए हैं?
You are to start at once.,तुम्हे बिलकुल अभी निकलना होगा।
You owe me an apology for that.,तुम्हे इस बात के लिए मुझसे माफ़ी माँगनी चाहिए।
You should make use of this chance.,तुम्हे इस मौके का फ़ायदा उठाना चाहिए।
You should make use of this chance.,तुम्हे इस मौके को गवा नहीं देना चाहिए।
You can study here.,तुम यहाँ पढ़ाई कर सकते हो।
You can study here.,तुम यहाँ पढ़ाई कर सकती हो।
Haven't you got any money?,तुम्हारे पास कुछ पैसे नहीं हैं क्या?
When did you begin studying English?,आपने अंग्रेज़ी सीखना कब शुरू किया?
When did you begin studying English?,तुमने अंग्रेज़ी सीखना कब शुरू किया?
When did you begin studying English?,तुम कब से अंग्रेज़ी सीखने लगे?
When did you begin studying English?,तुम कब से अंग्रेज़ी सीखने लगी?
When did you begin studying English?,आप कब से अंग्रेज़ी सीखने लगें?
When did you begin studying English?,आप कब से अंग्रेज़ी सीखने लगीं?
You are always complaining.,तुम हमेशा शिकायत करते रहते हो।
You can't go naked in this hotel.,तुम इस होटेल में नंगे नहीं जा सकते।
You can't go naked in this hotel.,आप इस होटेल में नंगे नहीं जा सकतें।
You can't go naked in this hotel.,तुम इस होटेल में नंगी नहीं जा सकती।
